Name,Condition,Price,Product Link
Kzzi I75 Low Profile Mechanical Keyboard Bluetooth 2.4G wireless mac PC,Buyer Protection,RM399,https://www.carousell.com.my/p/kzzi-i75-low-profile-mechanical-keyboard-bluetooth-2-4g-wireless-mac-pc-1378419966/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=Gzg_SIaoboOqQy38&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=50
ZIYOULANG Mechanical Keyboard K87,Like new,RM150,https://www.carousell.com.my/p/ziyoulang-mechanical-keyboard-k87-1378228375/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=Gzg_SIaoboOqQy38&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=51
FK89 E-Sports Gaming Mechanical Customise Keyboard,Buyer Protection,RM60,https://www.carousell.com.my/p/fk89-e-sports-gaming-mechanical-customise-keyboard-1378078932/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=Gzg_SIaoboOqQy38&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=52
Rk61 Hot Swappable Wireless Gaming Mechanical Keyboard Good Condition 99% New,Buyer Protection,RM150,https://www.carousell.com.my/p/rk61-hot-swappable-wireless-gaming-mechanical-keyboard-good-condition-99-new-1377494949/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=53
Zuoya GMK87 mechanical keyboard,Like new,RM400,https://www.carousell.com.my/p/zuoya-gmk87-mechanical-keyboard-1376404297/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=54
Matcha PBT Keycaps l XDA Profile l 124 Keys l 61 68 84 87 98 104 108 Mechanical Keyboard,Buyer Protection,RM48,https://www.carousell.com.my/p/matcha-pbt-keycaps-l-xda-profile-l-124-keys-l-61-68-84-87-98-104-108-mechanical-keyboard-1375036502/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=55
Mechanical Keyboard,Buyer Protection,RM110,https://www.carousell.com.my/p/mechanical-keyboard-1377187343/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=58
Keychron Q1 75% Mechanical Keyboard (Silver),Buyer Protection,RM300,https://www.carousell.com.my/p/keychron-q1-75-mechanical-keyboard-silver-1377851176/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=59
Dierya  DK63 Mechanical Wireless RGB Keyboard,Like new,RM150,https://www.carousell.com.my/p/dierya-dk63-mechanical-wireless-rgb-keyboard-1374156016/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=60
K800 87 keys Mechanical Keyboard (wired),Buyer Protection,RM28,https://www.carousell.com.my/p/k800-87-keys-mechanical-keyboard-wired-1375458687/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=61
Tecware Phantom RGB Mechanical Keyboard TKL (Red Switch),Buyer Protection,RM90,https://www.carousell.com.my/p/tecware-phantom-rgb-mechanical-keyboard-tkl-red-switch-1377252787/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=62
Fantech Mechanical Keyboard and Mouse,Buyer Protection,RM60,https://www.carousell.com.my/p/fantech-mechanical-keyboard-and-mouse-1374009024/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=63
"All new original 
Drop ALT V2 High-Profile Mechanical Keyboard",Buyer Protection,RM590,https://www.carousell.com.my/p/all-new-original-drop-alt-v2-high-profile-mechanical-keyboard-1377511738/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=64
"Keychron K7 65% Low‑Profile Mechanical Keyboard (Hot‑Swappable, RGB)",Buyer Protection,RM280,https://www.carousell.com.my/p/keychron-k7-65-low‑profile-mechanical-keyboard-hot‑swappable-rgb-1376800855/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=65
Womier Gamakay K61 (Custom Mechanical Keyboard),Buyer Protection,RM120,https://www.carousell.com.my/p/womier-gamakay-k61-custom-mechanical-keyboard-1374533541/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=67
"WOBKEY Rainy75 Mechanical Bluetooth RGB Keyboard  - Brand New, All configurations available",Brand new,RM375,https://www.carousell.com.my/p/wobkey-rainy75-mechanical-bluetooth-rgb-keyboard-brand-new-all-configurations-available-1373716258/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=68
Finalkey Origin67 custom mechanical keyboard,Like new,RM150,https://www.carousell.com.my/p/finalkey-origin67-custom-mechanical-keyboard-1374762637/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=69
Mechanical Gaming Keyboard Skyloong GK-68 (68 keys),Lightly used,RM90,https://www.carousell.com.my/p/mechanical-gaming-keyboard-skyloong-gk-68-68-keys-1377593890/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=70
Monsgeek M1W Aluminum Mechanical Keyboard,Buyer Protection,RM300,https://www.carousell.com.my/p/monsgeek-m1w-aluminum-mechanical-keyboard-1375349345/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=71
Cooler Master CK352 Wired Mechanical Keyboard,Buyer Protection,RM120,https://www.carousell.com.my/p/cooler-master-ck352-wired-mechanical-keyboard-1376975479/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=73
Armaggeddon MKA 1C NEO LED Backlight 61 Key Mechanical Gaming Keyboard,Buyer Protection,RM49,https://www.carousell.com.my/p/armaggeddon-mka-1c-neo-led-backlight-61-key-mechanical-gaming-keyboard-1376895444/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=74
*Promo* Custom Mechanical Keyboard (Gateron Azure Dragon v2),Like new,RM350,https://www.carousell.com.my/p/promo-custom-mechanical-keyboard-gateron-azure-dragon-v2-1375330273/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=75
hmx blue topaz mechanical keyboard switch,Buyer Protection,RM25,https://www.carousell.com.my/p/hmx-blue-topaz-mechanical-keyboard-switch-1377157139/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=76
Razer Blackwidow Elite Gaming Mechanical Keyboard,Buyer Protection,RM199,https://www.carousell.com.my/p/razer-blackwidow-elite-gaming-mechanical-keyboard-1376100428/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=77
EagleTec Falcon/Z-77 Wired Mechanical Gaming Keyboard,Buyer Protection,RM80,https://www.carousell.com.my/p/eagletec-falcon-z-77-wired-mechanical-gaming-keyboard-1375761305/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=78
FURYCUBE ZT99 Side Engraved Mechanical Keyboard,Buyer Protection,RM70,https://www.carousell.com.my/p/furycube-zt99-side-engraved-mechanical-keyboard-1376195010/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=79
PGPN S104 Mechanical Keyboard(TIRAMISU),Buyer Protection,RM100,https://www.carousell.com.my/p/pgpn-s104-mechanical-keyboard-tiramisu-1376347712/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=81
Redragon Azure RGB Mechanical Gamer Keyboard,Buyer Protection,RM165,https://www.carousell.com.my/p/redragon-azure-rgb-mechanical-gamer-keyboard-1377410802/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=82
AULA F2088 MECHANICAL GAMING KEYBOARD,Buyer Protection,RM75,https://www.carousell.com.my/p/aula-f2088-mechanical-gaming-keyboard-1374908450/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=83
[PRO] PMO Aurora80 Aluminum Wireless Mechanical Keyboard TKL Hot swappable RGB GASKET TOP Custom Gaming Keyboard Support VIA,Buyer Protection,RM390,https://www.carousell.com.my/p/pro-pmo-aurora80-aluminum-wireless-mechanical-keyboard-tkl-hot-swappable-rgb-gasket-top-custom-gaming-keyboard-support-via-1374717541/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=84
Logitech GPro Mechanical Gaming Keyboard,Buyer Protection,RM399,https://www.carousell.com.my/p/logitech-gpro-mechanical-gaming-keyboard-1376967608/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=85
"EWEADN V99 Pro wireless Mist transparent mechanical keyboard with knob and display, customized Bluetooth gaming RGB for Games and Office",Buyer Protection,RM300,https://www.carousell.com.my/p/eweadn-v99-pro-wireless-mist-transparent-mechanical-keyboard-with-knob-and-display-customized-bluetooth-gaming-rgb-for-games-and-office-1375874182/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=86
Monsgeek M1W Tri-mode Gasket Aluminum Mechanical Keyboard with knob wireless keyboard bluetooth,Like new,RM249,https://www.carousell.com.my/p/monsgeek-m1w-tri-mode-gasket-aluminum-mechanical-keyboard-with-knob-wireless-keyboard-bluetooth-1365933019/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=87
Aigo A100 Mechanical Keyboard,Lightly used,RM120,https://www.carousell.com.my/p/aigo-a100-mechanical-keyboard-1377291036/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=88
CoolerMaster CK351 Brown Switch Mechanical Keyboard,Buyer Protection,RM130,https://www.carousell.com.my/p/coolermaster-ck351-brown-switch-mechanical-keyboard-1376532638/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=91
Keychron K12 Wireless Mechanical Keyboard Optical RGB Gateron /Optical Switch (Hot-Swappable),Buyer Protection,RM250,https://www.carousell.com.my/p/keychron-k12-wireless-mechanical-keyboard-optical-rgb-gateron-optical-switch-hot-swappable-1374265841/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=92
1stPlayer DK5.0 Full-Size Mechanical gaming Keyboard rgb,Lightly used,RM100,https://www.carousell.com.my/p/1stplayer-dk5-0-full-size-mechanical-gaming-keyboard-rgb-1364193049/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=93
Lofree Flow 84 Lite | Mechanical Keyboard,Buyer Protection,RM300,https://www.carousell.com.my/p/lofree-flow-84-lite-mechanical-keyboard-1374063702/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=94
Keychron K6 Wireless Mechanical Keyboard | Aluminium | Gateron Red Switch,Well used,RM260,https://www.carousell.com.my/p/keychron-k6-wireless-mechanical-keyboard-aluminium-gateron-red-switch-1377130938/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=95
Mechanical Keyboard 65% RGB Light Hot Swap Knob Gaming,Buyer Protection,RM70,https://www.carousell.com.my/p/mechanical-keyboard-65-rgb-light-hot-swap-knob-gaming-1374726932/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=96
Keychron V1 75% Wired Mechanical Keyboard V1 Swappable RGB Backlight Brown Switch Black Knob Version,Buyer Protection,RM300,https://www.carousell.com.my/p/keychron-v1-75-wired-mechanical-keyboard-v1-swappable-rgb-backlight-brown-switch-black-knob-version-1374039543/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=97
Cheese Cat PBT Keycaps l XDA Profile l 136 Keys l 61 64 68 84 87 96 98 104 108 Mechanical Keyboard,Buyer Protection,RM58,https://www.carousell.com.my/p/cheese-cat-pbt-keycaps-l-xda-profile-l-136-keys-l-61-64-68-84-87-96-98-104-108-mechanical-keyboard-1375036927/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=98
Zouya GMK67 custom mechanical keyboard,Like new,RM199,https://www.carousell.com.my/p/zouya-gmk67-custom-mechanical-keyboard-1374761615/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=99
Modded Mechanical Keyboard,Buyer Protection,RM300,https://www.carousell.com.my/p/modded-mechanical-keyboard-1376687372/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=100
"Near-new pre-owned Lofree Flow84 mechanical keyboard, wired/Bluetooth connection, US layout, PHANTOM (tactile axis)",Like new,RM450,https://www.carousell.com.my/p/near-new-pre-owned-lofree-flow84-mechanical-keyboard-wired-bluetooth-connection-us-layout-phantom-tactile-axis-1375900851/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=101
Logitech G413 Mechanical Carbon Keyboard Gaming,Buyer Protection,RM160,https://www.carousell.com.my/p/logitech-g413-mechanical-carbon-keyboard-gaming-1365885182/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=102
Asus Rog Falchion Mechanical Wireless Bluetooth Gaming Keyboard Like New,Buyer Protection,RM499,https://www.carousell.com.my/p/asus-rog-falchion-mechanical-wireless-bluetooth-gaming-keyboard-like-new-1374641084/?t-id=bOPHfTHOk6_1751556134666&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=hpFCDbJU9X9vjBt7&t-referrer_search_query=Mechanical%20Keyboard&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=103
